review_id,review,rating_score,date
0,"Disappointing experience, not worth the price.",1,2023-03-05
1,Good value for money and clean place.,5,2022-04-16
2,Great food and very friendly staff.,4,2023-04-05
3,"It was okay, nothing special.",3,2023-06-24
4,Great food and very friendly staff.,5,2023-12-14
5,"Disappointing experience, not worth the price.",1,2023-07-26
6,"It was okay, nothing special.",3,2023-09-15
7,Very noisy and uncomfortable seating.,1,2023-08-30
8,Quick service and tasty dishes.,5,2023-07-13
9,"Disappointing experience, not worth the price.",2,2023-03-29
10,"Average visit, the food was fine.",3,2022-07-18
11,Service was slow and the food arrived cold.,2,2023-04-05
12,"Excellent experience, would definitely come back.",4,2023-01-12
13,"Acceptable service, but could be better.",3,2023-08-27
14,"Disappointing experience, not worth the price.",1,2022-04-08
15,Good value for money and clean place.,5,2023-04-29
16,The burger was overcooked and fries were soggy.,1,2022-04-19
17,"Acceptable service, but could be better.",3,2023-12-25
18,"Average visit, the food was fine.",3,2023-10-23
19,Good value for money and clean place.,5,2022-07-29
20,"Disappointing experience, not worth the price.",1,2023-02-01
21,Service was slow and the food arrived cold.,2,2022-05-25
22,Great food and very friendly staff.,5,2023-05-11
23,The burger was overcooked and fries were soggy.,1,2023-11-13
24,"Excellent experience, would definitely come back.",5,2022-10-01
25,Had to wait too long to be seated.,1,2023-11-19
26,"Disappointing experience, not worth the price.",1,2023-12-17
27,"Acceptable service, but could be better.",3,2022-12-08
28,Loved the atmosphere and the music.,5,2023-08-31
29,Very noisy and uncomfortable seating.,2,2022-06-09
30,Good value for money and clean place.,4,2023-10-30
31,"Disappointing experience, not worth the price.",2,2022-03-29
32,"It was okay, nothing special.",3,2023-09-20
33,Had to wait too long to be seated.,1,2023-01-04
34,"Excellent experience, would definitely come back.",4,2023-03-19
35,Great food and very friendly staff.,4,2022-01-14
36,Quick service and tasty dishes.,4,2023-06-09
37,Very noisy and uncomfortable seating.,2,2023-03-16
38,"Disappointing experience, not worth the price.",2,2022-01-30
39,Good value for money and clean place.,5,2022-11-25
40,"Acceptable service, but could be better.",3,2023-05-28
41,Had to wait too long to be seated.,2,2023-11-02
42,"Excellent experience, would definitely come back.",4,2023-03-23
43,Good value for money and clean place.,5,2023-01-10
44,Decent place for a quick bite.,3,2022-06-16
45,"Acceptable service, but could be better.",3,2022-04-12
46,"Excellent experience, would definitely come back.",4,2023-01-06
47,"Disappointing experience, not worth the price.",1,2022-03-24
48,"Average visit, the food was fine.",3,2022-08-18
49,Good value for money and clean place.,4,2022-05-15
50,Loved the atmosphere and the music.,4,2023-05-03
51,"Acceptable service, but could be better.",3,2022-11-23
52,Loved the atmosphere and the music.,4,2022-04-18
53,"Excellent experience, would definitely come back.",4,2023-09-29
54,"Acceptable service, but could be better.",3,2023-09-15
55,Loved the atmosphere and the music.,5,2023-11-07
56,Loved the atmosphere and the music.,5,2022-12-28
57,"Disappointing experience, not worth the price.",1,2022-10-18
58,Quick service and tasty dishes.,5,2022-12-14
59,Great food and very friendly staff.,5,2023-11-12
60,Had to wait too long to be seated.,1,2022-10-25
61,"It was okay, nothing special.",3,2022-06-05
62,Decent place for a quick bite.,3,2022-05-20
63,"Excellent experience, would definitely come back.",5,2022-05-08
64,Good value for money and clean place.,5,2023-10-26
65,Decent place for a quick bite.,3,2023-07-26
66,Good value for money and clean place.,4,2022-11-17
67,Very noisy and uncomfortable seating.,2,2022-06-20
68,"It was okay, nothing special.",3,2023-11-27
69,Quick service and tasty dishes.,4,2022-02-10
70,"Average visit, the food was fine.",3,2022-02-04
71,"Average visit, the food was fine.",3,2023-08-20
72,"Average visit, the food was fine.",3,2022-06-21
73,"Acceptable service, but could be better.",3,2022-09-13
74,Very noisy and uncomfortable seating.,2,2022-10-16
75,"It was okay, nothing special.",3,2023-12-31
76,Service was slow and the food arrived cold.,1,2023-10-11
77,Loved the atmosphere and the music.,4,2023-03-02
78,Great food and very friendly staff.,5,2022-12-21
79,Loved the atmosphere and the music.,4,2022-04-04
80,"Acceptable service, but could be better.",3,2023-04-27
81,Decent place for a quick bite.,3,2023-08-01
82,Very noisy and uncomfortable seating.,1,2022-10-08
83,Loved the atmosphere and the music.,5,2023-07-11
84,Great food and very friendly staff.,5,2023-06-26
85,Quick service and tasty dishes.,5,2023-06-13
86,Quick service and tasty dishes.,4,2023-02-11
87,"It was okay, nothing special.",3,2022-10-03
88,Decent place for a quick bite.,3,2023-08-16
89,The burger was overcooked and fries were soggy.,1,2023-10-25
90,The burger was overcooked and fries were soggy.,2,2023-12-07
91,Decent place for a quick bite.,3,2023-10-29
92,"Excellent experience, would definitely come back.",4,2022-04-21
93,Great food and very friendly staff.,4,2023-02-05
94,"Average visit, the food was fine.",3,2023-01-09
95,"Acceptable service, but could be better.",3,2023-08-13
96,Decent place for a quick bite.,3,2022-08-26
97,"It was okay, nothing special.",3,2023-06-05
98,Quick service and tasty dishes.,5,2023-05-30
99,Great food and very friendly staff.,5,2022-03-05
