review_id,review,local_guide_reviews,rating_score,service,meal_type,price_per_person_category,food_score,service_score,atmosphere_score,recommendations_list,date,avg_price_per_person
0,Great food and friendly staff. Will come back!,,5,,,,5,5,5,[''],2024-01-12,
1,Service was slow and my order arrived cold.,,2,,,,2,2,2,[''],2024-01-20,
2,"It was okay. Nothing special, but not bad.",,3,,,,3,3,3,[''],2024-02-03,
3,Loved the atmosphere and the coffee. Nice place.,,4,,,,4,4,4,[''],2024-02-18,
4,Too noisy at night and the table was dirty.,,2,,,,2,2,2,[''],2024-03-05,
5,Excellent value for money. Quick lunch.,,5,,,,5,5,5,[''],2024-03-19,
6,"The burger was overcooked, fries were soggy.",,1,,,,1,1,1,[''],2024-04-02,
7,Staff were polite and helpful.,,4,,,,4,4,4,[''],2024-04-16,
8,Waited 40 minutes to be seated. Disappointed.,,2,,,,2,2,2,[''],2024-05-01,
9,Brunch menu is great. Pancakes were delicious.,,5,,,,5,5,5,[''],2024-05-17,
